iter	Passed	Remaining
183	516	2292
184	518	2283
185	519	2274
186	521	2266
187	524	2265
188	526	2260
189	529	2258
190	534	2264
191	536	2256
192	537	2249
193	541	2249
194	542	2240
195	544	2232
196	545	2224
197	547	2215
198	548	2207
199	549	2199
200	551	2191
201	554	2190
202	557	2187
203	559	2181
204	560	2174
205	562	2166
206	563	2158
207	564	2151
208	575	2176
209	579	2179
210	580	2172
211	582	2164
212	584	2158
213	585	2151
214	587	2143
215	593	2154
216	595	2147
217	598	2145
218	599	2138
219	605	2146
220	606	2139
221	608	2131
222	609	2125
223	611	2117
224	612	2110
225	614	2103
226	615	2096
227	619	2097
228	621	2092
229	623	2087
230	627	2087
231	628	2081
232	630	2076
233	638	2090
234	641	2089
235	643	2081
236	645	2078
237	647	2072
238	654	2084
239	655	2077
240	657	2070
241	660	2068
242	661	2062
243	664	2057
244	667	2056
245	668	2050
246	673	2053
247	675	2047
248	676	2040
249	677	2033
250	680	2029
251	682	2024
252	684	2020
253	687	2019
254	690	2016
255	691	2010
256	693	2003
257	698	2009
258	700	2004
259	702	1998
260	703	1992
261	705	1986
262	706	1979
263	731	2039
264	734	2037
265	735	2030
266	737	2024
267	738	2018
268	740	2011
269	741	2004
270	744	2002
271	774	2072
272	777	2070
273	779	2064
274	780	2058
275	782	2052
276	783	2045
277	785	2039
278	787	2033
279	788	2027
280	793	2029
281	795	2024
282	797	2021
283	799	2014
284	800	2008
285	802	2003
286	804	1998
287	807	1995
288	809	1991
289	811	1986
290	813	1980
291	814	1975
292	816	1970
293	819	1968
294	823	1967
295	826	1965
296	827	1959
297	829	1954
298	831	1949
299	833	1944
300	834	1938
301	835	1932
302	838	1928
303	843	1930
304	845	1925
305	846	1920
306	847	1914
307	849	1908
308	853	1908
309	855	1904
310	856	1898
311	858	1892
312	861	1890
313	862	1884
314	864	1879
315	868	1879
316	870	1876
317	872	1872
318	874	1866
319	877	1865
320	879	1860
321	880	1854
322	884	1854
323	886	1849
324	888	1845
325	890	1841
326	892	1836
327	894	1832
328	898	1832
329	900	1827
330	902	1823
331	904	1820
332	906	1816
333	911	1816
334	917	1821
335	919	1818
336	921	1812
337	922	1807
338	924	1802
339	927	1801
340	930	1797
341	933	1796
342	935	1791
343	937	1786
344	938	1782
345	940	1777
346	941	1772
347	945	1770
348	948	1768
349	949	1764
350	951	1759
351	952	1754
352	954	1749
353	955	1744
354	958	1741
355	961	1738
356	963	1735
357	964	1730
358	966	1725
359	967	1720
360	969	1715
361	970	1710
362	974	1710
363	976	1706
364	977	1701
365	979	1696
366	980	1691
367	982	1686
368	984	1682
369	985	1678
370	989	1678
371	991	1673
372	994	1671
373	996	1667
374	997	1663
375	999	1658
376	1000	1653
377	1001	1648
378	1005	1647
379	1008	1644
380	1009	1640
381	1023	1656
382	1035	1668
383	1037	1664
384	1039	1661
385	1041	1656
386	1042	1651
387	1044	1646
388	1045	1642
389	1048	1639
390	1050	1636
391	1052	1633
392	1054	1628
393	1055	1623
394	1057	1620
395	1064	1623
396	1066	1619
397	1067	1614
398	1069	1610
399	1070	1606
400	1072	1602
401	1074	1598
402	1076	1594
403	1079	1592
404	1080	1587
405	1082	1583
406	1084	1580
407	1085	1575
408	1087	1571
409	1088	1566
410	1090	1562
411	1092	1559
412	1094	1556
413	1096	1552
414	1098	1548
415	1100	1544
416	1101	1540
417	1103	1536
418	1107	1535
419	1110	1533
420	1112	1529
421	1114	1526
422	1115	1522
423	1117	1518
424	1119	1514
425	1120	1510
426	1128	1514
427	1130	1510
428	1132	1506
429	1138	1508
430	1142	1508
431	1144	1504
432	1146	1501
433	1148	1497
434	1149	1493
435	1151	1489
436	1152	1484
437	1154	1480
438	1158	1480
439	1159	1476
440	1161	1471
441	1162	1467
442	1163	1463
443	1165	1459
444	1174	1464
